repo,季均代码参与者数量,季均代码贡献者数量,日均代码提交数量,季均代码提交关联PR的比率,季均PR关联issue的比率,日均PR创建数量,季均代码审查比率,季均代码合并比率,日均提交代码行数,proj_id,季均bug类issue处理时间平均数,季均bug类issue处理时间中位数,日均关闭PR数量,季均issue评论频率,季均issue首次响应时间平均数,季均issue首次响应时间中位数,季均PR处理时间平均数,季均PR处理时间中位数,日均更新issue数量,季均代码审查评论频率,季均最近版本发布次数,季均组织数量,季均组织贡献者数量,日均组织代码提交次数,季均组织持续贡献时间,季均观察贡献者数量,日均观察者贡献次数,季均issue贡献者数量,日均issue贡献次数,日均代码贡献次数,季均个人贡献者数量,日均个人贡献次数,季均访客贡献者数量,日均访客贡献次数,季均常客贡献者数量,日均常客贡献次数,季均核心贡献者数量,日均核心贡献次数
https://github.com/alexschrod/conditional,0,0,0,0,0,0,0,0,0,gitee:alexschrod/conditional,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://github.com/mitsuhiko/struckdown,0,0,0,0,0,0,0,0,0,gitee:mitsuhiko/struckdown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://github.com/apertus-open-source-cinema/narui,0,0,0,0,0,0,0,0,0,gitee:apertus-open-source-cinema/narui,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.307692308,0.003418803,0,0,0,0.153846154,0.001709402,0.153846154,0.001709402,0,0,0.153846154,0
https://github.com/allonsy/currant,0,0,0,0,0,0,0,0,0,gitee:allonsy/currant,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://github.com/emerentius/sudoku,0,0,0,0,0,0,0,0,0,gitee:emerentius/sudoku,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0.077777778,0,0,0,6,0.066666667,6,0.066666667,0,0,1,0
https://github.com/MattsSe/crossref-rs,0,0,0,0,0,0,0,0,0,gitee:MattsSe/crossref-rs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://github.com/arcnmx/ddcset-rs,0,0,0,0,0,0,0,0,0,gitee:arcnmx/ddcset-rs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.538461538,0.039316239,0,0,0,1.461538462,0.016239316,2.538461538,0.028205128,0,0,1,0
https://github.com/mistodon/sashimi,0.461538462,0.461538462,0.014537991,0,0,0,0,0,0.171890366,gitee:mistodon/sashimi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011965812,0.384615385,0.011965812,0,0,0,0,0.384615385,0.011965812
https://github.com/DevinR528/rumatui,0,0,0,0,0,0,0,0,0,gitee:DevinR528/rumatui,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.846153846,0.009401709,0,0,0,0.692307692,0.007692308,0,0,0,0,0.846153846,0
https://github.com/ava-labs/avalanche-rs,0.615384615,0,0,0,0,0.002564103,0,0,0,gitee:ava-labs/avalanche-rs,0,0,0,0,0,0,77.2,77.2,0,0,0,0,0,0,0,0,0,0,0,0.011111111,0,0,0,0,0.230769231,0.002564103,0.384615385,0.008547009
https://github.com/Marwes/debugserver-types,0,0,0,0,0,0,0,0,0,gitee:Marwes/debugserver-types,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://github.com/agrif/explode,0,0,0,0,0,0,0,0,0,gitee:agrif/explode,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://github.com/Concordium/concordium-base,10,4.076923077,0.572112712,1,0,0.241025641,0.233377196,0,33.59216659,gitee:Concordium/concordium-base,0,0,0.264957265,0,0,0,86.85574615,89.14576923,0.043589744,2.728846154,9.538461538,0.153846154,0.153846154,0.013682418,0.384615385,1.692307692,0.018803419,1.692307692,0.095726496,1.928205128,9.153846154,1.931623932,6.153846154,0.343589744,2.384615385,0.475213675,2.769230769,1.214529915
